variant,workload,width,triangles,repetitions,hardware_threads,min_ms,median_ms,max_ms,checksum
baseline,obj,400,320000,5,16,115.614,117.201,141.839,804005
current,obj,400,320000,5,16,75.9099,77.6183,100.75,804005
baseline,compact,800,1280000,5,16,103.761,104.514,105.577,3.208e+06
current,compact,800,1280000,5,16,80.8049,82.9238,84.7529,3.208e+06
baseline,distance,200,80000,3,16,1168.61,1169.17,1172.96,1.5
current,distance,200,80000,3,16,414.731,414.954,420.135,1.5
baseline,quality,200,80000,5,16,116.114,118.11,119.238,400000
current,quality,200,80000,5,16,52.099,52.2743,52.8702,400000
baseline,distance,707,999698,3,16,18123.1,18160,18227.7,1.5
current,distance,707,999698,3,16,5959.16,5999.55,6021.65,1.5
